
CommandType     Name                                               Version    Source
-----------     ----                                               -------    ------
Function        Add-MgChatMember                                   1.27.0     Microsoft.Graph.Teams
Function        Add-MgTeamChannelMember                            1.27.0     Microsoft.Graph.Teams
Function        Add-MgTeamMember                                   1.27.0     Microsoft.Graph.Teams
Function        Add-MgTeamPrimaryChannelMember                     1.27.0     Microsoft.Graph.Teams
Function        Add-MgTeamworkDeletedTeamChannelMember             1.27.0     Microsoft.Graph.Teams
Function        Clear-CsOnlineTelephoneNumberOrder                 5.1.1      MicrosoftTeams
Function        Clear-MgChatMessageReaction                        1.27.0     Microsoft.Graph.Teams
Function        Clear-MgChatMessageReplyReaction                   1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamChannelMessageReaction                 1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamChannelMessageReplyReaction            1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamPrimaryChannelMessageReaction          1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamPrimaryChannelMessageReplyReaction     1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamworkDeletedTeamChannelMessageReaction  1.27.0     Microsoft.Graph.Teams
Function        Clear-MgTeamworkDeletedTeamChannelMessageReplyRea… 1.27.0     Microsoft.Graph.Teams
Function        Complete-CsOnlineTelephoneNumberOrder              5.1.1      MicrosoftTeams
Function        Complete-MgTeamChannelMigration                    1.27.0     Microsoft.Graph.Teams
Function        Complete-MgTeamMigration                           1.27.0     Microsoft.Graph.Teams
Function        Complete-MgTeamPrimaryChannelMigration             1.27.0     Microsoft.Graph.Teams
Function        Complete-MgTeamworkDeletedTeamChannelMigration     1.27.0     Microsoft.Graph.Teams
Function        Confirm-MgChatPermissionGrantMemberGroup           1.27.0     Microsoft.Graph.Teams
Function        Confirm-MgChatPermissionGrantMemberObject          1.27.0     Microsoft.Graph.Teams
Function        Confirm-MgTeamPermissionGrantMemberGroup           1.27.0     Microsoft.Graph.Teams
Function        Confirm-MgTeamPermissionGrantMemberObject          1.27.0     Microsoft.Graph.Teams
Function        Confirm-MgTeamScheduleTimeCard                     1.27.0     Microsoft.Graph.Teams
Function        Copy-MgTeam                                        1.27.0     Microsoft.Graph.Teams
Function        Disable-CsMeetingRoom                              5.1.1      MicrosoftTeams
Function        Disable-CsOnlineSipDomain                          5.1.1      MicrosoftTeams
Function        Disable-CsTeamsShiftsConnectionErrorReport         5.1.1      MicrosoftTeams
Function        Enable-CsOnlineSipDomain                           5.1.1      MicrosoftTeams
Function        Export-CsAutoAttendantHolidays                     5.1.1      MicrosoftTeams
Function        Export-CsOnlineAudioFile                           5.1.1      MicrosoftTeams
Function        Find-CsGroup                                       5.1.1      MicrosoftTeams
Function        Find-CsOnlineApplicationInstance                   5.1.1      MicrosoftTeams
Function        Get-CsApplicationAccessPolicy                      5.1.1      MicrosoftTeams
Function        Get-CsApplicationMeetingConfiguration              5.1.1      MicrosoftTeams
Function        Get-CsAutoAttendant                                5.1.1      MicrosoftTeams
